from,to,rank
141574,122409,2
141574,141565,3
141574,110583,4
141574,110662,5
141574,135726,6
141574,236948,7
141574,110635,8
141574,121150,9
141574,122436,10
141644,141574,1
141644,141565,2
141644,110662,3
141644,121150,4
141644,135726,5
141644,110583,6
141644,122409,7
141644,110680,8
141644,122436,9
141644,110705,10
142115,142276,1
142115,142285,2
142115,209542,3
142115,236948,4
142115,236939,5
142115,142294,6
142115,142328,7
142115,209551,8
142115,104151,9
142115,159391,10
142276,142115,1
142276,142285,2
142276,142328,3
142276,209542,4
142276,236939,5
142276,180489,6
142276,126818,7
142276,166683,8
142276,229115,9
142276,228723,10
142285,142115,1
142285,142276,2
142285,236939,3
142285,209542,4
142285,142294,5
142285,126818,6
142285,209551,7
142285,126614,8
142285,126562,9
142285,142328,10
142294,142115,1
142294,142285,2
142294,134130,3
142294,204796,4
142294,142276,5
142294,137546,6
142522,230038,1
142522,230728,2
142522,230047,3
142522,180461,4
143048,194578,1
143048,193900,2
143048,140951,3
143048,217493,4
143048,170976,5
143048,215293,6
143048,197151,7
143048,144050,8
143048,215105,9
143048,196413,10
143358,146719,1
143358,145637,2
143358,145813,3
143358,149222,4
143358,144740,5
143358,143084,6
143358,239105,7
143358,153825,8
143358,154235,9
143358,204857,10
144050,147767,1
144050,193900,2
144050,190150,3
144050,217156,4
144050,110635,5
144050,130794,6
144050,243744,7
144050,215062,8
144050,166027,9
144050,164988,10
144281,193900,1
144281,144740,2
144281,144005,3
144281,147767,4
144281,144050,5
144281,145600,6
144281,146719,7
144281,165662,8
144281,211440,9
144281,190150,10
144351,143358,1
144351,148496,2
144351,146719,3
144351,149772,4
144351,149231,5
144351,149222,6
144351,147776,7
144351,146612,8
144351,145813,9
144351,145600,10
144740,146719,1
144740,147767,2
144740,145637,3
144740,145600,4
144740,146612,5
144740,143358,6
144740,147703,7
144740,145813,8
144740,144281,9
144740,148487,10
145600,145637,1
145600,146719,2
145600,147703,3
145600,144005,4
145600,145813,5
145600,144050,6
145600,147767,7
145600,144740,8
145600,149772,9
145600,193900,10
145637,145600,1
145637,145813,2
145637,170976,3
145637,243780,4
145637,147703,5
145637,147767,6
145637,240444,7
145637,153603,8
145637,149772,9
145637,144050,10
145725,190415,1
145725,215062,2
145725,243780,3
145725,130794,4
145725,171100,5
145725,186131,6
145725,190150,7
145725,166027,8
145725,228778,9
145725,243744,10
145813,145637,1
145813,147703,2
145813,149222,3
145813,149772,4
145813,145600,5
145813,153603,6
145813,144892,7
145813,149231,8
145813,143358,9
145813,143084,10
146612,144740,1
146612,145813,2
146612,145600,3
146612,147703,4
146612,146719,5
146612,143358,6
146612,149222,7
146612,149231,8
146612,148654,9
146612,243780,10
146719,145600,1
146719,147767,2
146719,144740,3
146719,143358,4
146719,144050,5
146719,193900,6
146719,144005,7
146719,145637,8
146719,147703,9
146719,164988,10
147244,143358,1
147244,145600,2
147244,206622,3
147244,152600,4
147244,131496,5
147244,149222,6
147244,148131,7
147244,146612,8
147244,145813,9
147244,193900,10
147679,147776,1
147679,148335,2
147679,144281,3
147703,145813,1
147703,145600,2
147703,145637,3
147703,149772,4
147703,149231,5
147703,143118,6
147703,144005,7
147703,146719,8
147703,149222,9
147703,144740,10
147767,144050,1
147767,193900,2
147767,146719,3
147767,243744,4
147767,166027,5
147767,130794,6
147767,217156,7
147767,145637,8
147767,190150,9
147767,215062,10
147828,143118,1
147828,147703,2
147828,146612,3
147828,145813,4
147828,145336,5
147828,171100,6
148131,145813,1
148131,145600,2
148131,146612,3
148131,149231,4
148131,149222,5
148131,147244,6
148131,143358,7
148131,148627,8
148131,146719,9
148131,143118,10
148627,146719,1
148627,144740,2
148627,143358,3
148627,148131,4
148627,147703,5
148627,145813,6
148627,143118,7
148627,145600,8
148627,146612,9
148654,145600,1
148654,145813,2
148654,149222,3
148654,147703,4
148654,201885,5
148654,145637,6
148654,144005,7
148654,149772,8
148654,243780,9
148654,166638,10
149222,145813,1
149222,149772,2
149222,149231,3
149222,144892,4
149222,143358,5
149222,145637,6
149222,145600,7
149222,147703,8
149222,153603,9
149222,148654,10
149781,201654,1
149781,152530,2
150066,150136,1
150066,151801,2
150066,150534,3
150066,201654,4
150066,150163,5
150066,201441,6
150066,203517,7
150066,152530,8
150066,150677,9
150136,151324,1
150136,203517,2
150136,243780,3
150136,151351,4
150136,171100,5
150136,204857,6
150136,240444,7
150136,174066,8
150136,153603,9
150136,204796,10
150163,243780,1
150163,151351,2
150163,150534,3
150163,201654,4
150163,206622,5
150163,150066,6
150163,150136,7
150163,104151,8
150163,196413,9
150163,142115,10
150534,152600,1
150534,150163,2
150534,150066,3
150534,143358,4
150534,151324,5
150534,150136,6
150534,203845,7
150534,151777,8
150534,204909,9
150534,151306,10
151263,151111,1
151263,151324,2
151263,171100,3
151263,243780,4
151263,110635,5
151263,186131,6
151263,209807,7
151263,176080,8
151263,193900,9
151263,166027,10
151290,151324,1
151306,151324,1
151306,151263,2
151306,199157,3
151306,202134,4
151306,151379,5
151306,151342,6
151306,201441,7
151306,152099,8
151306,150534,9
151306,150136,10
151324,150136,1
151324,151263,2
151324,151111,3
151324,151306,4
151324,206622,5
151324,151351,6
151324,243780,7
151324,154095,8
151324,151102,9
151324,239105,10
151342,154095,1
151342,203517,2
151342,151324,3
151342,150136,4
151342,171137,5
151342,151306,6
151342,174358,7
151342,164924,8
151342,151379,9
151342,201441,10
151351,243780,1
151351,170976,2
151351,150136,3
151351,240444,4
151351,204796,5
151351,145637,6
151351,151111,7
151351,150400,8
151351,198419,9
151351,171100,10
151801,145600,1
151801,201654,2
151801,152530,3
151801,150677,4
151801,150066,5
151801,151324,6
151801,150136,7
151801,157386,8
151801,122436,9
151801,243780,10
152080,130794,1
152080,190415,2
152080,186131,3
152080,198419,4
152080,243744,5
152080,166027,6
152080,217156,7
152080,123961,8
152080,193900,9
152080,204857,10
152318,240444,1
152318,110404,2
152318,239318,3
152318,133881,4
152318,168421,5
152318,166683,6
152318,195030,7
152318,441982,8
152318,187967,9
152318,171128,10
152530,201654,1
152530,150677,2
152530,151801,3
152530,149781,4
152530,213996,5
152530,169080,6
152530,170037,7
152530,203517,8
152530,201441,9
152530,150066,10
152600,150136,1
152600,202480,2
152600,243780,3
152600,206622,4
152600,150534,5
152600,171128,6
152600,151777,7
152600,147244,8
152600,153603,9
152600,122436,10
153269,153658,1
153269,239105,2
153269,143358,3
153269,144740,4
153269,240444,5
153269,153603,6
153269,145600,7
153269,154095,8
153269,178615,9
153269,147660,10
153603,153658,1
153603,145813,2
153603,145637,3
153603,154095,4
153603,174066,5
153603,243780,6
153603,240444,7
153603,203517,8
153603,228723,9
153603,126818,10
153658,153603,1
153658,240444,2
153658,145637,3
153658,171100,4
153658,154095,5
153658,170976,6
153658,174066,7
153658,193900,8
153658,239105,9
153658,145600,10
153825,154235,1
153825,143358,2
153825,147703,3
153825,149772,4
153825,145813,5
153825,154095,6
153825,144005,7
153825,143084,8
153825,148487,9
153825,153603,10
153861,131159,1
154095,153603,1
154095,153658,2
154095,145600,3
154095,151324,4
154095,178420,5
154095,215062,6
154095,155399,7
154095,239105,8
154095,170976,9
154095,223232,10
154235,153825,1
154235,143358,2
154235,147703,3
154235,149772,4
154235,145813,5
154235,143084,6
154235,153658,7
154235,145600,8
154235,147660,9
154235,153269,10
155061,155399,1
155061,156082,2
155061,155025,3
155061,176965,4
155061,178396,5
155061,178402,6
155061,155317,7
155061,155681,8
155061,178624,9
155061,178341,10
155317,155399,1
155317,156125,2
155317,228778,3
155317,228723,4
155317,207388,5
155317,214777,6
155317,126818,7
155317,123961,8
155317,207500,9
155317,240444,10
155399,155317,1
155399,223232,2
155399,156125,3
155399,207388,4
155399,153603,5
155399,176965,6
155399,207500,7
155399,178396,8
155399,204796,9
155399,155681,10
155681,155399,1
155681,155317,2
155681,155025,3
155681,156125,4
155681,215293,5
155681,214777,6
155681,156082,7
155681,155511,8
155681,220862,9
155681,196413,10
156125,155399,1
156125,155317,2
156125,174066,3
156125,173920,4
156125,145813,5
156125,163286,6
156125,204857,7
156125,204796,8
156125,199193,9
156125,153603,10
156286,157289,1
156286,157085,2
156286,157386,3
156286,156408,4
156286,139658,5
156286,156620,6
156286,157535,7
156286,150136,8
156286,147767,9
156286,151379,10
156745,157289,1
156745,157085,2
157085,157289,1
157085,157951,2
157085,156620,3
157085,221759,4
157085,204796,5
157085,134097,6
157085,221740,7
157085,100858,8
157085,199120,9
157085,134130,10
157289,157085,1
157289,156286,2
157289,157951,3
157289,156620,4
157289,134130,5
157289,204796,6
157289,137351,7
157289,156408,8
157289,223232,9
157289,132903,10
157401,157447,1
157401,204796,2
157401,204857,3
157401,156620,4
157401,157386,5
157401,134097,6
157401,100751,7
157401,157085,8
157401,221759,9
157401,203517,10
157447,156620,1
157447,157401,2
157447,157386,3
157447,176372,4
157447,214041,5
157447,213020,6
157447,157085,7
157447,157289,8
157447,211644,9
157447,211361,10
157951,157085,1
157951,157289,2
157951,156620,3
157951,134097,4
157951,134130,5
157951,157386,6
