from,to,rank
101709,101693,14
101709,101435,15
101709,100654,16
101709,100724,17
101709,101189,18
101709,102234,19
101709,101675,20
101709,102377,21
101709,176080,22
101709,101541,23
101709,102270,24
101709,102067,25
101879,100751,1
101879,100663,2
101879,100706,3
101879,102094,4
101879,101480,5
101879,102368,6
101879,100858,7
101879,101587,8
101879,101709,9
101879,101736,10
101879,102049,11
101879,101295,12
101879,100654,13
101879,100724,14
101879,101514,15
101879,176080,16
101879,100830,17
101879,100937,18
101879,101693,19
101879,176017,20
101879,102377,21
101879,102429,22
101879,100812,23
101879,102270,24
101879,101435,25
102094,100663,1
102094,100751,2
102094,102368,3
102094,100858,4
102094,176372,5
102094,101693,6
102094,100724,7
102094,101879,8
102094,100654,9
102094,101480,10
102094,100706,11
102094,176080,12
102094,101587,13
102094,102234,14
102094,100830,15
102094,101161,16
102094,102049,17
102094,138354,18
102094,176017,19
102094,102377,20
102094,101709,21
102094,100937,22
102094,102030,23
102094,134097,24
102094,176071,25
101587,101879,1
101587,102094,2
101587,100751,3
101587,102368,4
101587,100663,5
101587,101480,6
101587,102067,7
101587,100724,8
101587,100654,9
101587,101709,10
101587,100706,11
101587,100830,12
101587,101693,13
101587,176080,14
101587,100858,15
101587,102270,16
101587,176372,17
101587,101435,18
101587,102049,19
101587,101675,20
101587,100937,21
101587,102377,22
101587,101189,23
101587,101569,24
101587,101949,25
102580,,1
102669,102553,1
102669,102632,2
102669,102614,3
102669,141644,4
102669,141574,5
102669,141565,6
102669,209551,7
102669,236939,8
102669,209542,9
102669,126818,10
102669,161253,11
102669,166027,12
102669,409698,13
102669,193900,14
102669,236948,15
102669,104151,16
102669,134097,17
102669,180461,18
102669,164988,19
102669,230047,20
102669,134130,21
102669,104179,22
102669,141486,23
102669,186131,24
102669,180489,25
102711,,1
434584,102632,1
434584,200466,2
434584,180647,3
434584,102614,4
434584,101994,5
434584,107743,6
434584,101453,7
434584,380377,8
434584,200314,9
434584,102553,10
434584,106810,11
434584,100690,12
434584,107521,13
434584,200192,14
434584,107619,15
434584,155140,16
434584,141802,17
434584,106795,18
434584,231095,19
434584,107974,20
434584,107318,21
434584,181765,22
434584,107549,23
434584,106625,24
434584,105297,25
102553,102614,1
102553,102632,2
102553,102669,3
102553,141644,4
102553,141574,5
102553,209551,6
102553,236939,7
102553,236948,8
102553,209542,9
102553,141565,10
102553,180461,11
102553,126614,12
102553,126818,13
102553,105330,14
102553,142115,15
102553,180489,16
102553,104179,17
102553,166027,18
102553,142285,19
102553,235097,20
102553,210146,21
102553,209807,22
102553,104151,23
102553,110662,24
102553,200280,25
102614,102553,1
102614,102632,2
102614,102669,3
102614,180461,4
102614,141644,5
102614,141574,6
102614,141565,7
102614,209542,8
102614,180489,9
102614,236939,10
102614,142285,11
102614,209551,12
102614,236948,13
102614,126818,14
102614,105330,15
102614,240727,16
102614,161253,17
102614,166027,18
102614,104179,19
102614,134130,20
102614,237011,21
102614,142276,22
102614,171100,23
102614,126614,24
102614,110644,25
102632,102553,1
102632,102614,2
102632,102669,3
102632,141644,4
102632,141565,5
102632,141574,6
102632,209551,7
102632,434584,8
102632,142285,9
102632,166027,10
102632,236948,11
102632,236939,12
102632,209542,13
102632,237011,14
102632,161253,15
102632,230047,16
102632,134130,17
102632,377564,18
102632,110662,19
102632,180489,20
102632,180461,21
102632,240727,22
102632,193900,23
102632,,24
102632,115755,25
103787,223117,1
103787,206002,2
103787,127954,3
103787,102261,4
103787,124487,5
103787,260947,6
103787,232052,7
103787,,8
103787,231873,9
103787,174525,10
103787,153320,11
103787,199768,12
103787,231882,13
103787,110060,14
103787,169992,15
103787,107600,16
103787,247603,17
103787,230825,18
103787,123651,19
103787,105589,20
103787,207157,21
103787,120838,22
103787,190646,23
103787,132408,24
103787,117104,25
105899,104151,1
105899,105330,2
105899,104179,3
105899,126669,4
105899,104708,5
105899,110097,6
105899,121309,7
105899,110361,8
105899,120537,9
105899,104160,10
105899,384333,11
105899,109785,12
105899,104346,13
105899,105747,14
105899,182281,15
105899,121150,16
105899,112084,17
105899,123651,18
105899,228875,19
105899,105428,20
105899,201654,21
105899,125727,22
105899,155937,23
105899,,24
105899,122409,25
448886,104179,1
448886,105330,2
448886,104151,3
448886,407009,4
448886,420574,5
448886,122409,6
448886,105428,7
448886,123961,8
448886,182281,9
448886,110662,10
448886,104708,11
448886,141644,12
448886,193900,13
448886,209551,14
448886,110635,15
448886,105154,16
448886,141574,17
448886,126818,18
448886,243744,19
448886,110592,20
448886,187985,21
448886,209542,22
448886,166027,23
448886,204796,24
448886,110705,25
420574,104151,1
420574,407009,2
420574,104179,3
420574,448886,4
420574,105330,5
420574,105154,6
420574,123961,7
420574,122409,8
420574,110422,9
420574,110635,10
420574,364025,11
420574,110662,12
420574,243744,13
420574,104346,14
420574,166027,15
420574,110556,16
420574,110529,17
420574,110644,18
420574,126818,19
420574,209551,20
420574,110705,21
420574,104586,22
420574,110671,23
420574,209542,24
420574,104577,25
483124,,1
104151,104179,1
104151,105330,2
104151,122409,3
104151,123961,4
104151,110662,5
104151,209551,6
104151,243744,7
104151,126614,8
104151,110583,9
104151,209542,10
104151,110635,11
104151,182281,12
104151,126818,13
104151,228778,14
104151,110705,15
104151,193900,16
104151,236948,17
104151,134097,18
104151,214777,19
104151,171100,20
104151,122436,21
104151,105154,22
104151,204796,23
104151,121150,24
104151,142115,25
407009,104151,1
407009,448886,2
407009,105330,3
407009,104179,4
407009,420574,5
407009,104708,6
407009,384333,7
407009,105428,8
407009,123961,9
407009,364016,10
407009,142115,11
407009,122409,12
407009,110662,13
407009,182281,14
407009,166027,15
407009,104346,16
407009,243744,17
407009,110592,18
407009,126818,19
407009,104160,20
407009,110671,21
407009,171100,22
407009,122436,23
407009,121150,24
407009,110705,25
104160,104179,1
104160,105330,2
104160,104151,3
104160,104577,4
104160,104346,5
104160,448886,6
104160,105154,7
104160,105525,8
104160,420574,9
104160,407009,10
104160,106148,11
104160,104708,12
104160,105899,13
104160,105428,14
104160,126818,15
104160,122409,16
104160,182281,17
104160,209551,18
104160,441900,19
104160,122339,20
104160,126580,21
104160,182564,22
104160,105747,23
104160,128258,24
104160,105145,25
31155,,1
104346,104577,1
104346,104179,2
104346,104151,3
104346,105330,4
104346,104160,5
104346,105154,6
104346,364025,7
104346,105525,8
104346,106148,9
104346,105428,10
104346,448886,11
104346,105747,12
104346,104708,13
104346,420574,14
104346,407009,15
104346,105145,16
104346,404426,17
104346,105668,18
104346,105792,19
104346,105899,20
104346,384333,21
104346,104425,22
104346,442781,23
104346,186186,24
104346,126818,25
364025,105154,1
364025,104151,2
364025,105330,3
364025,104179,4
364025,105747,5
364025,104346,6
